x,y,reflectance,illumination,grey_value
-0.1928298553487404,-0.4146307579097807,1,1,0.00828460038986362
-0.1068169792659151,-0.1910238850597527,2,1,0.03313840155945418
-0.1346258974841468,0.0026731184971839,3,1,0.074561403508772
-0.1084428209511354,0.0464283076060622,4,1,0.13255360623781673
-0.0488291419753127,0.1760984642199865,5,1,0.20711500974658872
-0.0047719218630622,0.251152849980528,6,1,0.298245614035088
-0.1165733831612601,-0.3153239974261272,1,2,0.027777777777778
0.0234420585561465,-0.0957098664339012,2,2,0.111111111111111
0.0002789029728165,0.0501861307130555,3,2,0.25
0.0186724742673371,0.1421074751439546,4,2,0.444444444444444
0.1887609972760236,0.1355694092658886,5,2,0.694444444444444
0.2630970127911409,0.2119561746788692,6,2,1.0
0.0819067897838455,-0.2012452961760892,1,3,0.08625730994152124
0.0188395456889526,0.0419404398672568,2,3,0.34502923976608185
0.1178922187133076,0.1598214330328664,3,3,0.776315789473685
