x,y,reflectance,illumination,grey_value
-0.2166699370419227,-0.3778322193665032,1,1,0.00828460038986362
-0.1311292209573213,-0.1564895961723996,2,1,0.03313840155945418
-0.0572508792449118,-0.1007592702184324,3,1,0.074561403508772
-0.0478997029062059,0.009373506172729,4,1,0.13255360623781673
-0.0718632140219257,0.1070989244219185,5,1,0.20711500974658872
-0.0620826835716368,0.2304832544489593,6,1,0.298245614035088
-0.1316876520121441,-0.2654045578690202,1,2,0.027777777777778
-0.0079311530205524,-0.0888774600533646,2,2,0.111111111111111
0.0268573153082702,0.001999069340446,3,2,0.25
0.0093187932579016,0.132791352109981,4,2,0.444444444444444
0.1487652332439032,0.3096784930613315,5,2,0.694444444444444
0.3335850790085878,0.2341116491135312,6,2,1.0
0.0095464139112793,-0.2246597358638415,1,3,0.08625730994152124
0.0650618798864709,0.005296121600211,2,3,0.34502923976608185
0.1333797281602071,0.1831904692744542,3,3,0.776315789473685
